✓,Card,Type,Color,View,Picked By,
✓,Troll of Khazad-dûm,Creature — Troll,B,View,Bludac,$D$19
✓,Cut Down,Instant,B,View,ebbitten,$K$43
✓,Dark Ritual,Instant,B,View,samp,$E$12
✓,Fatal Push,Instant,B,View,Siddharth ,$H$13
✓,Bitter Triumph,Instant,B,View,Bludac,$D$14
✓,Go for the Throat,Instant,B,View,clorpy,$F$37
✓,Infernal Grasp,Instant,B,View,Siddharth ,$H$42
✓,Sheoldred's Edict,Instant,B,View,clorpy,$F$21
✓,Dismember,Instant,B,View,Siddharth ,$H$4
✓,Saw in Half,Instant,B,View,samp,$E$41
✓,Fell the Profane,Instant,B,View,Siddharth ,$H$38
✓,Snuff Out,Instant,B,View,Siddharth ,$H$25
✓,Murderous Cut,Instant,B,View,samp,$E$45
✓,Bloodchief's Thirst,Sorcery,B,View,Bludac,$D$48
,Bone Shards,Sorcery,B,View,,
✓,Duress,Sorcery,B,View,samp,$E$36
✓,Inquisition of Kozilek,Sorcery,B,View,Bludac,$D$13
✓,Thoughtseize,Sorcery,B,View,samp,$E$4
✓,Unearth,Sorcery,B,View,Bludac,$D$26
✓,Collective Brutality,Sorcery,B,View,Bludac,$D$35
✓,Demonic Tutor,Sorcery,B,View,samp,$E$8
✓,Fell,Sorcery,B,View,ebbitten,$K$45
,Persist,Sorcery,B,View,,
✓,Quag Feast,Sorcery,B,View,Siddharth ,$H$45
✓,Toxic Deluge,Sorcery,B,View,clorpy,$F$17
✓,Damnation,Sorcery,B,View,Siddharth ,$H$37
✓,Gix's Command,Sorcery,B,View,Bludac,$D$36
,Scavenger's Talent,Enchantment — Class,B,View,,
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,samp,$E$28
✓,Chthonian Nightmare,Enchantment,B,View,Bludac,$D$5
✓,The Meathook Massacre,Legendary Enchantment,B,View,samp,$E$14
✓,Necromancy,Enchantment,B,View,Bludac,$D$37
✓,Virtue of Persistence,Enchantment,B,View,Bludac,$D$38
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,Bludac,$D$11
✓,Phyrexian Tower,Legendary Land,B,View,samp,$E$24
✓,Spymaster's Vault,Land,B,View,samp,$E$44
✓,Bomat Courier,Artifact Creature — Construct,R,View,ebbitten,$K$11
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,dgcritch,$I$26
✓,Grim Lavamancer,Creature — Human Wizard,R,View,ebbitten,$K$18
,Heartfire Hero,Creature — Mouse Soldier,R,View,,
✓,Hired Claw,Creature — Lizard Mercenary,R,View,dgcritch,$I$8
✓,Marauding Mako,Creature — Shark Pirate,R,View,ebbitten,$K$31
✓,Rabbit Battery,Artifact Creature — Equipment Rabbit,R,View,ebbitten,$K$17
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,ebbitten,$K$4
✓,Voldaren Epicure,Creature — Vampire,R,View,Bludac,$D$24
✓,Amped Raptor,Creature — Dinosaur,R,View,ebbitten,$K$8
✓,Bloodthirsty Adversary,Creature — Vampire,R,View,ebbitten,$K$25
✓,Dragonkin Berserker,Creature — Human Berserker,R,View,dgcritch,$I$18
✓,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,ebbitten,$K$14
✓,Earthshaker Khenra,Creature — Jackal Warrior,R,View,ebbitten,$K$30
✓,Emberheart Challenger,Creature — Mouse Warrior,R,View,dgcritch,$I$19
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,Bludac,$D$7
✓,Generous Plunderer,Creature — Human Rogue,R,View,dgcritch,$I$11
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,ebbitten,$K$7
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,dgcritch,$I$12
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,dgcritch,$I$25
✓,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,dgcritch,$I$29
✓,Robber of the Rich,Creature — Human Archer Rogue,R,View,ebbitten,$K$16
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,Balbadorf,$J$21
✓,Searslicer Goblin,Creature — Goblin Warrior,R,View,ebbitten,$K$28
