✓,Card,Type,Color,View,Picked By,
✓,Serra Paragon,Creature — Angel,W,View,Jack,$G$29
✓,Witch Enchanter,Creature — Human Warlock,W,View,SL Veg Zombie,$C$25
✓,Solitude,Creature — Elemental Incarnation,W,View,giya76,$J$5
,Timeless Dragon,Creature — Dragon,W,View,,
✓,Eagles of the North,Creature — Bird Soldier,W,View,giya76,$J$23
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,giya76,$J$7
✓,Condemn,Instant,W,View,Jack,$G$24
✓,Ephemerate,Instant,W,View,giya76,$J$18
✓,Mana Tithe,Instant,W,View,SL Veg Zombie,$C$43
✓,Path to Exile,Instant,W,View,Jack,$G$5
✓,Swords to Plowshares,Instant,W,View,SL Veg Zombie,$C$4
✓,Reprieve,Instant,W,View,SL Veg Zombie,$C$9
✓,Thraben Charm,Instant,W,View,giya76,$J$25
✓,Unexpectedly Absent,Instant,W,View,giya76,$J$17
✓,Oust,Sorcery,W,View,gogey,$L$12
✓,Prismatic Ending,Sorcery,W,View,Jack,$G$12
✓,Winds of Abandon,Sorcery,W,View,arborist77,$K$43
✓,Sevinne's Reclamation,Sorcery,W,View,arborist77,$K$32
,Battle Screech,Sorcery,W,View,,
✓,Day of Judgment,Sorcery,W,View,Jack,$G$30
✓,Sunfall,Sorcery,W,View,gogey,$L$32
✓,Portable Hole,Artifact,W,View,gogey,$L$29
,Collector's Cage,Artifact,W,View,,
✓,Glimmer Lens,Artifact — Equipment,W,View,SL Veg Zombie,$C$17
✓,Staff of the Storyteller,Artifact,W,View,SL Veg Zombie,$C$16
✓,Maul of the Skyclaves,Artifact — Equipment,W,View,SL Veg Zombie,$C$26
,Unidentified Hovership,Artifact — Vehicle,W,View,,
✓,Legion's Landing,Legendary Enchantment,W,View,SL Veg Zombie,$C$38
,Michiko's Reign of Truth,Enchantment — Saga,W,View,,
✓,Sheltered by Ghosts,Enchantment — Aura,W,View,giya76,$J$43
✓,Aang's Iceberg,Enchantment,W,View,giya76,$J$35
✓,Caretaker's Talent,Enchantment — Class,W,View,SL Veg Zombie,$C$15
✓,Wedding Announcement,Enchantment,W,View,SL Veg Zombie,$C$46
,Virtue of Loyalty,Enchantment,W,View,,
✓,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,W,View,SL Veg Zombie,$C$48
✓,The Wandering Emperor,Legendary Planeswalker,W,View,Jack,$G$9
✓,Abandoned Air Temple,Land,W,View,SL Veg Zombie,$C$27
✓,Mockingbird,Creature — Bird Bard,U,View,dkriddles,$E$23
✓,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,gogey,$L$33
✓,Spyglass Siren,Creature — Siren Pirate,U,View,dkriddles,$E$27
✓,Duelist of the Mind,Creature — Human Advisor,U,View,dkriddles,$E$45
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,dkriddles,$E$25
✓,Floodpits Drowner,Creature — Merfolk,U,View,giya76,$J$36
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,Adhavoc,$D$31
✓,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,Adhavoc,$D$36
✓,Ledger Shredder,Creature — Bird Advisor,U,View,giya76,$J$30
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,dkriddles,$E$15
✓,Mischievous Mystic,Creature — Human Wizard,U,View,dkriddles,$E$41
,Phantasmal Image,Creature — Illusion,U,View,,
✓,Silent Hallcreeper,Enchantment Creature — Horror,U,View,dkriddles,$E$38
✓,Snapcaster Mage,Creature — Human Wizard,U,View,dkriddles,$E$19
✓,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,U,View,gogey,$L$15
✓,Abhorrent Oculus,Creature — Eye,U,View,dkriddles,$E$30
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,Jack,$G$18
✓,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,gogey,$L$26
,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,,
✓,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,dkriddles,$E$42
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,Andrew 420,$H$38
✓,"The Mechanist, Aerial Artisan",Legendary Creature — Human Artificer Ally,U,View,dkriddles,$E$40
✓,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,gogey,$L$41
✓,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,dkriddles,$E$29
✓,Micromancer,Creature — Human Wizard,U,View,giya76,$J$33
✓,Subtlety,Creature — Elemental Incarnation,U,View,gogey,$L$13
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,gogey,$L$4
