 ,Card,Type,Color,View,UR,
✓,Oliphaunt,Creature — Elephant,R,View,clong,$K$45
✓,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,Keith,$D$37
,Trumpeting Carnosaur,Creature — Dinosaur,R,View,,
✓,Burst Lightning,Instant,R,View,Aviseras,$E$11
✓,Fire Magic,Instant,R,View,clong,$K$30
✓,Lightning Bolt,Instant,R,View,Aviseras,$E$5
✓,Monstrous Rage,Instant,R,View,Aviseras,$E$37
✓,Torch the Tower,Instant,R,View,Mr. Fancypants,$L$26
✓,Unholy Heat,Instant,R,View,clong,$K$12
✓,Abrade,Instant,R,View,clong,$K$14
✓,Ghostfire Slice,Instant,R,View,Aviseras,$E$38
✓,Mine Collapse,Instant,R,View,Aviseras,$E$29
✓,Fireblast,Instant,R,View,Aviseras,$E$15
✓,Pyrokinesis,Instant,R,View,Aviseras,$E$24
✓,Chain Lightning,Sorcery,R,View,Aviseras,$E$8
✓,Faithless Looting,Sorcery,R,View,Aviseras,$E$48
✓,Flame Slash,Sorcery,R,View,Aviseras,$E$21
✓,Iroh's Demonstration,Sorcery — Lesson,R,View,clong,$K$29
